,,,Suburbs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postcode,Population,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2125,2125,15966,West Pennant Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2126,2126,18779,Cherrybrook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2127,2127,8144,Newington (NSW),Sydney Olympic Park,Wentworth Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2128,2128,3163,Silverwater (Auburn - NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2129,2129,4,Homebush West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130,2130,6588,Summer Hill (Ashfield - NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2131,2131,22190,Ashfield (NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2132,2132,10380,Croydon (NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2133,2133,10742,Croydon Park (NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2134,2134,12468,Burwood (NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2135,2135,23097,Strathfield (NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2136,2136,6719,Burwood Heights,Enfield (NSW),Strathfield South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2137,2137,24018,Breakfast Point,Cabarita (NSW),Concord,Mortlake (NSW),North Strathfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138,2138,13519,Concord West,Liberty Grove,Rhodes,Sydney Olympic Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2139,2139,56,Concord West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140,2140,12512,Homebush (NSW),Homebush West,Strathfield (NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141,2141,25479,Berala,Lidcombe,Rookwood (NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142,2142,22525,Clyde (NSW),Granville (NSW),Holroyd,Rosehill (NSW),South Granville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2143,2143,7460,Birrong,Potts Hill,Regents Park (NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2144,2144,33123,Auburn (NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2145,2145,71312,Constitution Hill,Girraween (NSW),Greystanes,Mays Hill,Pemulwuy,Pendle Hill,South Wentworthville,Wentworthville,Westmead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2146,2146,15684,Old Toongabbie,Toongabbie (NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147,2147,35074,Kings Langley,Lalor Park,Seven Hills (NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2148,2148,58671,Arndell Park,Blacktown,Kings Park (NSW),Marayong,Prospect (NSW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,2150,24811,Harris Park,Parramatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2151,2151,20223,North Parramatta,North Rocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
